,id,name,addr,gcj_lng,gcj_lat,walking_duration,driving__duration,Public_transport_duration,monthly_rent,poi_entropy_800m,poi_counts_800m
101,B00155L3NL,联城花苑,上海市浦东新区耀华路555弄1-18号,121.480559,31.174021,44.13333333333333,17.583333333333332,40.55,2750.0,3.348519328146746,"{ ""交通设施"": 52, ""休闲娱乐"": 4, ""公司企业"": 68, ""医疗保健"": 20, ""商务住宅"": 47, ""旅游景点"": 13, ""汽车相关"": 11, ""生活服务"": 74, ""科教文化"": 14, ""购物消费"": 35, ""运动健身"": 5, ""酒店住宿"": 8, ""金融机构"": 11, ""餐饮美食"": 33 }"
102,B00155LC7F,凌兆一村,上海市浦东新区上浦路565弄1-23号,121.500633,31.147223,30.116666666666667,11.483333333333333,24.866666666666667,24750.0,2.972516598406749,"{ ""交通设施"": 102, ""休闲娱乐"": 13, ""公司企业"": 82, ""医疗保健"": 57, ""商务住宅"": 120, ""旅游景点"": 3, ""汽车相关"": 45, ""生活服务"": 430, ""科教文化"": 55, ""购物消费"": 374, ""运动健身"": 22, ""酒店住宿"": 27, ""金融机构"": 11, ""餐饮美食"": 238 }"
103,B001559QDW,翰城国际,上海市浦东新区云台路1000弄之1-39号,121.509711,31.154979,50.13333333333333,19.55,32.38333333333333,16061.1,2.998518101552646,"{ ""交通设施"": 186, ""休闲娱乐"": 39, ""公司企业"": 95, ""医疗保健"": 71, ""商务住宅"": 118, ""旅游景点"": 5, ""汽车相关"": 67, ""生活服务"": 375, ""科教文化"": 63, ""购物消费"": 652, ""运动健身"": 34, ""酒店住宿"": 49, ""金融机构"": 24, ""餐饮美食"": 444 }"
104,B0FFGD1COX,永康城盛华园,上海市闵行区鲁康路1198弄1-14号,121.503288,31.031521,199.53333333333333,49.95,75.38333333333334,7596.7375,2.951016395061133,"{ ""交通设施"": 17, ""公司企业"": 10, ""医疗保健"": 3, ""商务住宅"": 13, ""汽车相关"": 35, ""生活服务"": 28, ""科教文化"": 7, ""购物消费"": 18, ""运动健身"": 1, ""金融机构"": 1, ""餐饮美食"": 38 }"
105,B00155L3ZV,紫竹馨苑,上海市浦东新区南码头路1378弄,121.514159,31.17992,81.48333333333333,25.28333333333333,43.98333333333333,4910.125,3.263232066612637,"{ ""交通设施"": 170, ""休闲娱乐"": 16, ""公司企业"": 112, ""医疗保健"": 64, ""商务住宅"": 107, ""旅游景点"": 2, ""汽车相关"": 59, ""生活服务"": 321, ""科教文化"": 79, ""购物消费"": 287, ""运动健身"": 49, ""酒店住宿"": 22, ""金融机构"": 36, ""餐饮美食"": 195 }"
106,B00155L4HK,梅山苑(西营南路),上海市浦东新区西营南路18弄1-57号,121.487789,31.16025,24.016666666666666,11.8,28.966666666666665,4950.0,3.230491705716543,"{ ""交通设施"": 75, ""休闲娱乐"": 5, ""公司企业"": 97, ""医疗保健"": 15, ""商务住宅"": 94, ""旅游景点"": 6, ""汽车相关"": 16, ""生活服务"": 158, ""科教文化"": 59, ""购物消费"": 147, ""运动健身"": 34, ""酒店住宿"": 8, ""金融机构"": 14, ""餐饮美食"": 115 }"
107,B00155L4SL,昌七小区,上海市浦东新区南码头路1675弄之1-59号,121.515997,31.174972,73.96666666666667,24.75,33.81666666666667,11687.5,3.137613693766988,"{ ""交通设施"": 174, ""休闲娱乐"": 25, ""公司企业"": 79, ""医疗保健"": 63, ""商务住宅"": 143, ""旅游景点"": 1, ""汽车相关"": 42, ""生活服务"": 373, ""科教文化"": 84, ""购物消费"": 422, ""运动健身"": 42, ""酒店住宿"": 24, ""金融机构"": 41, ""餐饮美食"": 220 }"
108,B00155LC1H,世华锦城,上海市浦东新区三林镇板泉路951号,121.500311,31.161565,44.61666666666667,18.216666666666665,32.43333333333333,27500.0,3.0787498715448374,"{ ""交通设施"": 183, ""休闲娱乐"": 32, ""公司企业"": 127, ""医疗保健"": 81, ""商务住宅"": 162, ""旅游景点"": 16, ""汽车相关"": 59, ""生活服务"": 459, ""科教文化"": 100, ""购物消费"": 622, ""运动健身"": 38, ""酒店住宿"": 48, ""金融机构"": 29, ""餐饮美食"": 466 }"
109,B0FFG29E93,宝华源墅,上海市闵行区宝华源墅5588弄93号,121.511336,31.117739,73.2,26.4,46.31666666666667,14712.5,2.985112037026504,"{ ""交通设施"": 77, ""休闲娱乐"": 7, ""公司企业"": 41, ""医疗保健"": 14, ""商务住宅"": 37, ""旅游景点"": 2, ""汽车相关"": 47, ""生活服务"": 233, ""科教文化"": 46, ""购物消费"": 134, ""运动健身"": 11, ""酒店住宿"": 12, ""金融机构"": 9, ""餐饮美食"": 195 }"
110,B0FFF3C4B1,浦润苑,上海市闵行区浦航路718弄,121.532794,31.042343,194.86666666666667,53.7,55.266666666666666,23925.0,3.086438610589995,"{ ""交通设施"": 38, ""休闲娱乐"": 5, ""公司企业"": 6, ""医疗保健"": 5, ""商务住宅"": 21, ""旅游景点"": 2, ""汽车相关"": 6, ""生活服务"": 64, ""科教文化"": 18, ""购物消费"": 39, ""运动健身"": 4, ""酒店住宿"": 5, ""金融机构"": 1, ""餐饮美食"": 39 }"
